Local time,Open,High,Low,Close,Volume
14.10.2024 03:43:00.000 GMT+0200,5810.177,5810.246,5809.367,5809.614,0.0168
14.10.2024 03:44:00.000 GMT+0200,5809.867,5809.927,5809.614,5809.927,0.0161
14.10.2024 03:45:00.000 GMT+0200,5809.993,5810.484,5809.870,5810.364,0.0161
14.10.2024 03:46:00.000 GMT+0200,5810.502,5810.626,5810.120,5810.132,0.0141
14.10.2024 03:47:00.000 GMT+0200,5810.364,5810.864,5810.123,5810.361,0.0074
14.10.2024 03:48:00.000 GMT+0200,5810.249,5810.249,5809.364,5809.614,0.008
14.10.2024 03:49:00.000 GMT+0200,5809.481,5809.629,5808.870,5809.361,0.0107
14.10.2024 03:50:00.000 GMT+0200,5809.502,5809.632,5808.382,5808.382,0.0181
14.10.2024 03:51:00.000 GMT+0200,5808.297,5808.297,5807.379,5808.123,0.0194
14.10.2024 03:52:00.000 GMT+0200,5808.427,5808.623,5807.873,5808.611,0.01
14.10.2024 03:53:00.000 GMT+0200,5808.861,5808.876,5808.364,5808.614,0.01
14.10.2024 03:54:00.000 GMT+0200,5808.370,5808.882,5808.370,5808.632,0.0087
14.10.2024 03:55:00.000 GMT+0200,5808.547,5808.632,5808.361,5808.626,0.0054
14.10.2024 03:56:00.000 GMT+0200,5808.731,5809.129,5808.379,5808.873,0.0161
14.10.2024 03:57:00.000 GMT+0200,5808.614,5808.614,5808.114,5808.114,0.002
14.10.2024 03:58:00.000 GMT+0200,5808.234,5808.382,5808.111,5808.382,0.0174
14.10.2024 03:59:00.000 GMT+0200,5808.111,5808.620,5807.876,5808.132,0.0147
14.10.2024 04:00:00.000 GMT+0200,5807.882,5807.882,5807.361,5807.361,0.0174
14.10.2024 04:01:00.000 GMT+0200,5807.626,5807.626,5806.376,5806.861,0.0127
14.10.2024 04:02:00.000 GMT+0200,5806.737,5807.126,5806.427,5806.614,0.0188
14.10.2024 04:03:00.000 GMT+0200,5806.734,5806.870,5806.111,5806.111,0.0114
14.10.2024 04:04:00.000 GMT+0200,5805.927,5805.927,5805.361,5805.611,0.01
14.10.2024 04:05:00.000 GMT+0200,5805.882,5806.123,5805.367,5805.367,0.0054
14.10.2024 04:06:00.000 GMT+0200,5805.132,5805.611,5804.629,5805.611,0.0201
14.10.2024 04:07:00.000 GMT+0200,5805.870,5806.632,5805.870,5806.364,0.01
14.10.2024 04:08:00.000 GMT+0200,5806.177,5806.620,5806.114,5806.132,0.0127
14.10.2024 04:09:00.000 GMT+0200,5806.361,5806.927,5806.132,5806.614,0.0114
14.10.2024 04:10:00.000 GMT+0200,5806.731,5806.870,5806.373,5806.864,0.0094
14.10.2024 04:11:00.000 GMT+0200,5807.126,5807.427,5807.117,5807.297,0.0107
14.10.2024 04:12:00.000 GMT+0200,5807.123,5807.382,5806.861,5807.379,0.0161
14.10.2024 04:13:00.000 GMT+0200,5807.132,5807.370,5806.876,5807.114,0.0047
14.10.2024 04:14:00.000 GMT+0200,5807.427,5807.427,5806.981,5806.981,0.0047
14.10.2024 04:15:00.000 GMT+0200,5807.120,5807.427,5806.981,5807.361,0.008
14.10.2024 04:16:00.000 GMT+0200,5807.614,5807.632,5807.243,5807.376,0.01
14.10.2024 04:17:00.000 GMT+0200,5807.117,5807.614,5807.117,5807.373,0.0114
14.10.2024 04:18:00.000 GMT+0200,5807.114,5807.382,5807.114,5807.382,0.006
14.10.2024 04:19:00.000 GMT+0200,5807.231,5807.632,5806.873,5807.632,0.0121
14.10.2024 04:20:00.000 GMT+0200,5807.876,5807.876,5807.364,5807.373,0.0087
14.10.2024 04:21:00.000 GMT+0200,5807.614,5807.614,5807.361,5807.382,0.0054
14.10.2024 04:22:00.000 GMT+0200,5807.231,5807.677,5807.123,5807.677,0.0174
14.10.2024 04:23:00.000 GMT+0200,5807.861,5807.882,5807.367,5807.626,0.0134
14.10.2024 04:24:00.000 GMT+0200,5807.734,5807.873,5807.614,5807.864,0.0074
14.10.2024 04:25:00.000 GMT+0200,5807.626,5807.876,5807.623,5807.623,0.004
14.10.2024 04:26:00.000 GMT+0200,5807.379,5807.629,5807.120,5807.629,0.004
14.10.2024 04:27:00.000 GMT+0200,5807.927,5808.177,5807.614,5807.879,0.01
14.10.2024 04:28:00.000 GMT+0200,5807.626,5808.123,5807.623,5807.993,0.008
14.10.2024 04:29:00.000 GMT+0200,5807.864,5808.376,5807.864,5808.297,0.0107
14.10.2024 04:30:00.000 GMT+0200,5808.370,5808.370,5807.861,5808.114,0.004
14.10.2024 04:31:00.000 GMT+0200,5808.367,5808.376,5808.120,5808.376,0.0027
14.10.2024 04:32:00.000 GMT+0200,5808.117,5808.132,5807.861,5808.123,0.0094
14.10.2024 04:33:00.000 GMT+0200,5808.379,5808.379,5807.876,5807.876,0.0087
14.10.2024 04:34:00.000 GMT+0200,5808.126,5808.126,5807.870,5808.120,0.0067
14.10.2024 04:35:00.000 GMT+0200,5807.927,5807.927,5807.370,5807.626,0.0087
14.10.2024 04:36:00.000 GMT+0200,5807.427,5807.611,5807.111,5807.611,0.0027
14.10.2024 04:37:00.000 GMT+0200,5807.731,5807.882,5807.620,5807.882,0.0047
14.10.2024 04:38:00.000 GMT+0200,5808.126,5808.629,5808.114,5808.620,0.0147
14.10.2024 04:39:00.000 GMT+0200,5808.490,5808.927,5808.367,5808.611,0.0134
14.10.2024 04:40:00.000 GMT+0200,5808.361,5808.861,5808.361,5808.623,0.0067
14.10.2024 04:41:00.000 GMT+0200,5808.870,5809.177,5808.611,5808.927,0.0074
14.10.2024 04:42:00.000 GMT+0200,5808.614,5809.123,5808.614,5808.864,0.01
14.10.2024 04:43:00.000 GMT+0200,5808.743,5808.873,5808.611,5808.861,0.0134
14.10.2024 04:44:00.000 GMT+0200,5808.626,5808.927,5808.626,5808.876,0.0067
14.10.2024 04:45:00.000 GMT+0200,5808.677,5808.927,5808.617,5808.876,0.0134
14.10.2024 04:46:00.000 GMT+0200,5809.126,5809.126,5808.632,5808.632,0.002
14.10.2024 04:47:00.000 GMT+0200,5808.737,5808.870,5808.364,5808.376,0.0161
14.10.2024 04:48:00.000 GMT+0200,5808.620,5808.677,5808.373,5808.614,0.004
14.10.2024 04:49:00.000 GMT+0200,5808.490,5808.797,5808.367,5808.734,0.008
14.10.2024 04:50:00.000 GMT+0200,5808.882,5809.132,5808.623,5809.132,0.0087
14.10.2024 04:51:00.000 GMT+0200,5809.382,5809.382,5809.114,5809.114,0.0013
14.10.2024 04:52:00.000 GMT+0200,5809.364,5809.379,5809.132,5809.379,0.004
14.10.2024 04:53:00.000 GMT+0200,5809.111,5809.111,5809.111,5809.111,0.0007
14.10.2024 04:54:00.000 GMT+0200,5809.237,5809.626,5809.117,5809.361,0.0114
14.10.2024 04:55:00.000 GMT+0200,5809.120,5809.120,5808.620,5808.867,0.0027
14.10.2024 04:56:00.000 GMT+0200,5808.629,5808.677,5808.361,5808.367,0.0114
14.10.2024 04:57:00.000 GMT+0200,5808.617,5808.867,5808.490,5808.617,0.0047
